Inventory ID,Product ID,Product Name,SKU,Location,Warehouse,Current Stock,Minimum Stock,Maximum Stock,Unit Cost,Total Value,Last Restocked,Next Restock Date,Stock Status,Category,Supplier,Lead Time (Days),Reorder Point
INV-001,PROD-001,Premium Cotton T-Shirt,TSH-001,Zone A,Main Warehouse,150,50,300,15.50,2325.00,2024-01-10,2024-02-10,In Stock,Apparel,TextileCo,7,75
INV-002,PROD-002,Smart Fitness Band,FIT-001,Zone B,Main Warehouse,75,25,150,45.00,3375.00,2024-01-15,2024-02-15,In Stock,Electronics,TechSupply,14,50
INV-003,PROD-003,Organic Face Cream,BEA-001,Zone C,Main Warehouse,200,30,250,12.00,2400.00,2024-01-20,2024-02-20,In Stock,Beauty,NaturalBeauty,10,60
INV-004,PROD-004,Leather Wallet,ACC-001,Zone A,Main Warehouse,100,20,200,20.00,2000.00,2024-01-25,2024-02-25,In Stock,Accessories,LeatherCraft,12,40
INV-005,PROD-005,Wireless Headphones,AUD-001,Zone B,Main Warehouse,50,15,100,65.00,3250.00,2024-02-01,2024-03-01,In Stock,Electronics,AudioTech,21,30
INV-006,PROD-006,Yoga Mat,HEA-001,Zone C,Main Warehouse,120,40,200,18.00,2160.00,2024-01-30,2024-02-28,In Stock,Health,WellnessPro,8,80
INV-007,PROD-007,Coffee Maker,HOM-001,Zone A,Main Warehouse,30,10,60,40.00,1200.00,2024-02-05,2024-03-05,Low Stock,Home,KitchenPro,14,20
INV-008,PROD-008,Phone Case,PHN-001,Zone B,Main Warehouse,300,50,400,8.00,2400.00,2024-01-28,2024-02-28,In Stock,Electronics,PhoneGuard,5,100
INV-009,PROD-009,Plant Pot,GAR-001,Zone C,Main Warehouse,80,25,150,7.50,600.00,2024-02-10,2024-03-10,In Stock,Home,GardenCo,9,50
INV-010,PROD-010,Notebook Set,OFF-001,Zone A,Main Warehouse,250,75,350,6.00,1500.00,2024-02-15,2024-03-15,In Stock,Office,PaperCo,6,150
INV-011,PROD-011,Bluetooth Speaker,AUD-002,Zone B,Main Warehouse,0,20,80,35.00,0.00,2024-01-05,2024-02-05,Out of Stock,Electronics,AudioTech,18,40
INV-012,PROD-012,Desk Lamp,HOM-002,Zone A,Main Warehouse,15,15,50,25.00,375.00,2024-01-12,2024-02-12,Low Stock,Home,LightCo,10,30
INV-013,PROD-013,Water Bottle,HEA-002,Zone C,Main Warehouse,200,30,250,12.00,2400.00,2024-01-18,2024-02-18,In Stock,Health,HydrationPro,7,60
INV-014,PROD-014,Backpack,ACC-002,Zone A,Main Warehouse,60,20,120,45.00,2700.00,2024-01-22,2024-02-22,In Stock,Accessories,BagCo,12,40
INV-015,PROD-015,Wireless Mouse,OFF-002,Zone B,Main Warehouse,90,25,150,18.00,1620.00,2024-01-28,2024-02-28,In Stock,Office,TechSupply,8,50
INV-016,PROD-016,Essential Oil Set,BEA-002,Zone C,Main Warehouse,0,10,40,28.00,0.00,2024-01-08,2024-02-08,Out of Stock,Beauty,NaturalBeauty,15,20
INV-017,PROD-017,Kitchen Timer,HOM-003,Zone A,Main Warehouse,25,10,40,15.00,375.00,2024-02-01,2024-03-01,Low Stock,Home,KitchenPro,9,20
INV-018,PROD-018,Phone Stand,PHN-002,Zone B,Main Warehouse,180,30,250,22.00,3960.00,2024-01-25,2024-02-25,In Stock,Electronics,PhoneGuard,6,60
INV-019,PROD-019,Seed Packets,GAR-002,Zone C,Main Warehouse,120,20,100,8.00,960.00,2024-02-05,2024-03-05,In Stock,Home,GardenCo,11,40
INV-020,PROD-020,Sticky Notes,OFF-003,Zone A,Main Warehouse,400,50,500,5.00,2000.00,2024-02-10,2024-03-10,In Stock,Office,PaperCo,4,100
